#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
267,51608,384,'26',Decimal('300720855221037056'),147.47559,0.616293,0.006317,5e-06,0,'GALAXY','STARBURST'
267,51608,508,'26',Decimal('300754940081498112'),148.33426,0.69773,0.012555,7e-06,0,'GALAXY','BROADLINE'
269,51910,466,'26',Decimal('302995200089810944'),151.22194,0.211964,0.177913,2.8e-05,0,'GALAXY','STARFORMING'
280,51612,192,'26',Decimal('315304777518966784'),170.43819,-0.022514,0.099054,9e-06,0,'GALAXY','STARBURST'
284,51943,170,'26',Decimal('319802335385643008'),178.19797,-0.668794,0.004619,5e-06,0,'GALAXY','STARBURST'
291,51928,560,'26',Decimal('327790836865591296'),191.59583,0.477751,0.088512,1.5e-05,0,'GALAXY','STARFORMING'
298,51955,204,'26',Decimal('335574280131602432'),203.27226,-1.035819,0.012346,5e-06,0,'GALAXY','AGN BROADLINE'
328,52282,535,'26',Decimal('369442267410229248'),175.87349,-1.741671,0.106046,1.3e-05,0,'GALAXY',''
330,52370,471,'26',Decimal('371676476514265088'),178.15699,-2.468442,0.003533,5e-06,0,'GALAXY','STARBURST'
336,51999,198,'26',Decimal('378356828062377984'),191.21235,-2.217922,0.010874,6e-06,0,'GALAXY','STARBURST'
345,51690,229,'26',Decimal('388498443254917120'),242.07809,-0.462621,0.112833,9e-06,0,'GALAXY',''
393,51794,456,'26',Decimal('442604037813069824'),11.01209,1.220151,0.119582,3e-05,0,'GALAXY',''
397,51794,109,'26',Decimal('447012254806730752'),18.202533,-0.290186,0.017544,1.1e-05,0,'GALAXY','AGN BROADLINE'
403,51871,219,'26',Decimal('453797892109395968'),29.372607,-0.851626,0.155504,2.8e-05,0,'GALAXY',''
405,51816,603,'26',Decimal('456155244116600832'),34.269918,1.244198,0.021411,8e-06,0,'GALAXY','BROADLINE'
411,51817,362,'26',Decimal('462844397998860288'),45.170175,1.049998,0.072075,1.9e-05,0,'GALAXY',''
412,52258,180,'26',Decimal('463920277525391360'),47.696449,-0.508262,0.127465,3e-05,0,'GALAXY',''
412,52258,492,'26',Decimal('464006039432357888'),47.642076,0.494073,0.047427,1.8e-05,0,'GALAXY','STARFORMING'
422,51878,80,'26',Decimal('475151782427781120'),18.068738,14.578554,0.094201,1.7e-05,0,'GALAXY',''
427,51900,71,'26',Decimal('480778808429930496'),31.368712,13.251116,0.025916,1.2e-05,0,'GALAXY','AGN BROADLINE'
434,51885,639,'26',Decimal('488816238177314816'),118.79225,42.670779,0.072708,7e-06,0,'GALAXY','STARFORMING'
438,51884,462,'26',Decimal('493271184398379008'),120.80255,47.613816,0.117353,2e-05,0,'GALAXY','AGN BROADLINE'
440,51885,227,'26',Decimal('495458387920709632'),122.29893,49.017044,0.116703,2.4e-05,0,'GALAXY',''
444,51883,199,'26',Decimal('499954290933131264'),128.11721,52.606218,0.016941,1.4e-05,0,'GALAXY','STARBURST'
446,51899,139,'26',Decimal('502189598340835328'),131.09822,53.444411,0.753678,0.294303,0,'GALAXY',''
446,51899,529,'26',Decimal('502296800724543488'),131.29381,55.329631,0.112892,6e-06,0,'GALAXY','AGN'
446,51899,597,'26',Decimal('502315492422215680'),132.02407,54.437802,0.046712,1e-05,0,'GALAXY','AGN'
447,51877,376,'26',Decimal('503380643942524928'),130.82169,52.757928,0.058749,1.1e-05,0,'GALAXY','BROADLINE'
450,51908,409,'26',Decimal('506767415154075648'),136.55738,56.170891,0.04662,9e-06,0,'GALAXY','STARBURST'
457,51901,166,'26',Decimal('514581919053146112'),43.45986,-7.943477,0.115913,7e-06,0,'GALAXY','STARFORMING'
460,51924,616,'26',Decimal('518083314217674752'),51.355674,-6.14387,0.034414,1.2e-05,0,'GALAXY','AGN'
462,51909,444,'26',Decimal('520287834779707392'),54.846449,-5.811559,0.084796,8e-06,0,'GALAXY','AGN'
465,51910,482,'26',Decimal('523675979877476352'),62.217633,-4.917998,0.184822,2.16119,0,'GALAXY',''
468,51912,233,'26',Decimal('526985235032729600'),132.92089,0.412105,0.051431,5e-06,0,'GALAXY','STARFORMING'
468,51912,523,'26',Decimal('527064949625743360'),133.28981,2.246421,0.035238,9e-06,0,'GALAXY',''
472,51955,247,'26',Decimal('531492683672217600'),137.90992,-0.714998,0.070203,7e-06,0,'GALAXY','STARFORMING'
473,51929,374,'26',Decimal('532653492637034496'),139.04407,2.381118,0.271356,5.6e-05,0,'GALAXY',''
473,51929,492,'26',Decimal('532685928230053888'),140.02682,1.968792,0.084976,2.3e-05,0,'GALAXY','BROADLINE'
475,51965,626,'26',Decimal('534974562287249408'),143.30811,1.982955,0.031121,1.1e-05,0,'GALAXY','STARFORMING'
486,51910,231,'26',Decimal('547250883566528512'),143.96497,61.353203,0.039386,1.4e-05,0,'GALAXY','AGN BROADLINE'
488,51914,555,'26',Decimal('549591743889172480'),155.16588,64.409973,0.122295,1.8e-05,0,'GALAXY','AGN'
489,51930,50,'26',Decimal('550578830721443840'),159.50679,64.266374,0.005577,1.2e-05,0,'GALAXY','STARFORMING'
499,51988,5,'26',Decimal('561825461257136128'),218.05554,63.284397,0.123051,1.9e-05,0,'GALAXY',''
499,51988,84,'26',Decimal('561847176611784704'),216.73393,63.012772,0.020883,5e-06,0,'GALAXY','STARBURST'
512,51992,536,'26',Decimal('576608120281786368'),172.39246,3.384689,0.108812,3.6e-05,0,'GALAXY',''
516,52017,119,'26',Decimal('580997096241391616'),180.67602,1.976799,0.006542,1e-05,0,'GALAXY','STARFORMING'
519,52283,124,'26',Decimal('584376174814193664'),185.93042,1.311089,0.026255,5e-06,0,'GALAXY','STARBURST'
519,52283,415,'26',Decimal('584456164285114368'),185.67641,3.141817,0.023084,8e-06,0,'GALAXY','AGN'
521,52326,300,'26',Decimal('586676353860921344'),189.52154,1.477751,0.006158,1.4e-05,0,'GALAXY','AGN'
533,51994,537,'26',Decimal('600252293236942848'),213.71395,3.130926,0.025277,7e-06,0,'GALAXY','AGN BROADLINE'
538,52029,413,'26',Decimal('605847708497897472'),223.18945,2.889261,0.264146,2.9e-05,0,'GALAXY',''
546,52205,419,'26',Decimal('614856559972870144'),123.11895,43.421126,0.047033,8e-06,0,'GALAXY','STARBURST'
550,51959,433,'26',Decimal('619364003763742720'),129.15747,48.297923,0.187274,0.583505,0,'GALAXY',''
553,51999,342,'26',Decimal('622716690265827328'),136.77034,53.44906,0.029851,5e-06,0,'GALAXY','STARBURST'
556,51991,11,'26',Decimal('626003405264939008'),147.37626,55.579706,0.005252,3e-06,0,'GALAXY','STARBURST'
574,52355,356,'26',Decimal('646364442572908544'),152.40176,4.604706,0.121675,7e-06,0,'GALAXY','STARBURST'
575,52319,200,'26',Decimal('647447460922288128'),155.91516,4.18628,0.289746,9e-06,0,'GALAXY','STARBURST BROADLINE'
588,52045,622,'26',Decimal('662200153591015424'),224.71617,4.212059,0.043913,8e-06,0,'GALAXY','STARBURST'
591,52022,467,'26',Decimal('665535246850091008'),229.45491,4.16255,0.036824,1.3e-05,0,'GALAXY',''
603,52056,192,'26',Decimal('678970454878218240'),201.08384,63.683312,0.144493,9e-06,0,'GALAXY','AGN BROADLINE'
611,52055,128,'26',Decimal('687960061930137600'),226.35707,60.273603,0.129535,1.5e-05,0,'GALAXY','AGN BROADLINE'
613,52345,393,'26',Decimal('690284709254555648'),227.92068,59.808921,0.008217,8e-06,0,'GALAXY',''
615,52347,594,'26',Decimal('692591759561091072'),234.55391,58.286029,0.142767,3.2e-05,0,'GALAXY',''
616,52442,364,'26',Decimal('693654439143172096'),234.2674,55.264062,0.00225,5e-06,0,'GALAXY','STARBURST'
624,52377,361,'26',Decimal('702660812673673216'),244.09808,47.033977,0.002372,4e-06,0,'GALAXY','STARBURST'
629,52051,561,'26',Decimal('708345282319902720'),251.36645,45.754734,0.154413,2e-05,0,'GALAXY',''
647,52553,235,'26',Decimal('728521878867568640'),353.77426,-10.273687,0.059491,6e-06,0,'GALAXY','STARBURST'
657,52177,458,'26',Decimal('739842169401010176'),13.374656,-8.767788,0.018978,1.1e-05,0,'GALAXY','AGN'
662,52147,180,'26',Decimal('745395252373776384'),23.222117,-9.877646,5.72974,0.000826,16,'QSO','BROADLINE'
663,52145,306,'26',Decimal('746555786863339520'),23.510558,-9.774157,0.040774,9e-06,0,'GALAXY','AGN'
667,52163,205,'26',Decimal('751031624124098560'),32.336863,-10.133077,0.012857,7e-06,0,'GALAXY','AGN BROADLINE'
676,52178,420,'26',Decimal('761223822287333376'),343.09417,1.092541,0.016431,8e-06,0,'GALAXY',''
691,52199,123,'26',Decimal('778030682503931904'),11.391259,-1.101733,0.01377,4e-06,0,'GALAXY','STARFORMING'
719,52203,555,'26',Decimal('809674627218434048'),334.381,-8.760532,0.156849,1.4e-05,0,'GALAXY','AGN BROADLINE'
727,52207,504,'26',Decimal('818667807767029760'),315.83131,10.94415,0.043153,9e-06,0,'GALAXY','STARFORMING BROADLINE'
731,52460,381,'26',Decimal('823137601656481792'),322.9065,11.831638,0.02883,1.1e-05,0,'GALAXY','BROADLINE'
733,52207,222,'26',Decimal('825345691638327296'),327.3968,11.645027,0.239369,2.6e-05,0,'QSO','BROADLINE'
735,52519,461,'26',Decimal('827663192506263552'),332.01197,13.226264,0.116217,7e-06,0,'GALAXY','STARBURST'
746,52238,531,'26',Decimal('840067328220620800'),352.42954,15.372211,0.102811,8e-06,0,'GALAXY','STARFORMING'
753,52233,94,'26',Decimal('847828505839298560'),6.108115,14.069624,0.01424,6e-06,0,'GALAXY','STARBURST'
761,54524,477,'26',Decimal('856941021769000960'),126.42862,42.466262,0.095067,6e-06,0,'GALAXY','STARBURST'
764,52238,266,'26',Decimal('860260683898447872'),132.59882,47.609427,0.05433,6e-06,0,'GALAXY','STARFORMING'
767,52252,313,'26',Decimal('863651303115483136'),139.73982,51.37073,0.013792,4e-06,0,'GALAXY','STARFORMING'
778,54525,278,'26',Decimal('876026619498620928'),180.55086,62.137222,0.004035,1.5e-05,0,'GALAXY','STARFORMING'
778,54525,497,'26',Decimal('876086817760241664'),181.85687,62.582755,0.039542,8e-06,0,'GALAXY','STARBURST'
781,52373,607,'26',Decimal('879494717945964544'),192.5712,63.422305,0.167322,2.3e-05,0,'GALAXY',''
788,52338,311,'26',Decimal('887294652846204928'),210.19052,59.328281,0.010144,2.7e-05,0,'GALAXY','STARBURST'
807,52295,614,'26',Decimal('908770038360598528'),43.188395,0.666223,0.280297,4.3e-05,0,'GALAXY',''
819,52409,369,'26',Decimal('922213494068111360'),251.53444,36.618114,0.136404,2.4e-05,0,'GALAXY',''
844,52378,445,'26',Decimal('950381881940011008'),184.53372,6.139539,0.018463,1.1e-05,0,'GALAXY','STARBURST'
853,52374,422,'26',Decimal('960508658842626048'),203.43435,4.798655,0.079583,1.3e-05,0,'GALAXY','AGN'
853,52374,577,'26',Decimal('960551264918202368'),204.54221,5.584554,0.057995,7e-06,0,'GALAXY','STARBURST'
861,52318,489,'26',Decimal('969534273977608192'),123.3924,31.547818,0.01953,5e-06,0,'GALAXY','STARBURST'
862,52325,108,'26',Decimal('970555445519345664'),125.57278,33.018117,0.103058,3.4e-05,0,'GALAXY',''
870,52325,536,'26',Decimal('979680292518258688'),142.84998,44.315921,0.143162,1.7e-05,0,'GALAXY',''
880,52367,588,'26',Decimal('990953585942489088'),176.84006,52.449591,0.048669,7e-06,0,'GALAXY','AGN'
896,52592,34,'26',Decimal('1008815705866397696'),133.19564,42.834909,0.054176,6e-06,0,'GALAXY','AGN BROADLINE'
900,52637,534,'26',Decimal('1013456745202214912'),141.45482,49.280975,0.192064,1.5e-05,0,'GALAXY','BROADLINE'
934,52672,483,'26',Decimal('1051723323848812544'),131.85441,35.914285,0.186629,8e-06,0,'GALAXY','STARBURST'
939,52636,403,'26',Decimal('1057330832546490368'),141.48163,42.229839,0.127863,1.6e-05,0,'GALAXY','AGN BROADLINE'
939,52636,637,'26',Decimal('1057395153976715264'),143.16545,41.102849,0.145267,1.4e-05,0,'GALAXY','AGN'
952,52409,247,'26',Decimal('1071924646573533184'),172.12829,58.561843,0.00999,1e-05,0,'GALAXY','STARBURST'
955,52409,608,'26',Decimal('1075401577218467840'),186.27255,61.153138,0.002341,4e-06,0,'GALAXY','STARBURST'
964,52646,570,'26',Decimal('1085524234995787776'),167.32521,49.798258,0.046647,7e-06,0,'GALAXY','STARBURST'
966,52642,221,'26',Decimal('1087680102352840704'),172.25229,48.733124,0.073582,7e-06,0,'GALAXY','STARFORMING'
967,52636,302,'26',Decimal('1088828267269482496'),173.37062,49.236948,0.000845,3e-06,0,'GALAXY','STARBURST'
969,52442,134,'26',Decimal('1091033884340021248'),181.41836,49.174797,0.214976,4.5e-05,0,'GALAXY',''
1010,52649,301,'26',Decimal('1137241688603912192'),159.86438,52.478326,0.021838,5e-06,0,'GALAXY','STARFORMING'
1018,52672,359,'26',Decimal('1146264831163131904'),179.11719,55.125236,0.003714,1.2e-05,0,'GALAXY','AGN'
1019,52707,261,'26',Decimal('1147363793622296576'),183.53945,54.526858,0.008178,7e-06,0,'GALAXY','STARBURST'
1039,52707,288,'26',Decimal('1169889213462636544'),193.97411,53.442519,0.023325,5e-06,0,'GALAXY','STARFORMING'
1048,52736,424,'26',Decimal('1180059696506103808'),222.7358,48.623968,0.091899,7e-06,0,'GALAXY','STARBURST'
1055,52761,515,'26',Decimal('1187966010162964480'),241.70991,38.375926,0.103177,3.9e-05,0,'GALAXY',''
1162,52668,406,'26',Decimal('1308407336942987264'),218.95035,55.988198,0.126886,7e-06,0,'GALAXY','STARBURST'
1185,52642,345,'26',Decimal('1334286266811836416'),124.97305,4.235896,0.432552,0.000131,0,'GALAXY','BROADLINE'
1198,52669,230,'26',Decimal('1348891355094476800'),133.33111,38.877502,0.127652,6e-06,0,'GALAXY','AGN'
1216,52709,619,'26',Decimal('1369264481594533888'),148.93984,41.574965,0.015659,5e-06,0,'GALAXY','STARBURST'
1222,52763,341,'26',Decimal('1375943465883428864'),168.45725,9.586292,0.029251,6e-06,0,'GALAXY','AGN'
1223,52781,386,'26',Decimal('1377081735598073856'),171.47284,9.987456,0.003863,1.3e-05,0,'GALAXY','STARFORMING'
1237,52762,621,'26',Decimal('1392908930283235328'),154.5,8.638966,0.180729,0.280198,0,'GALAXY',''
1246,54478,520,'26',Decimal('1403014295565920256'),86.654611,-0.233301,2.9e-05,1.7e-05,0,'GALAXY',''
1247,52677,229,'26',Decimal('1404060175786076160'),86.911435,-0.676679,3.3e-05,2.1e-05,0,'GALAXY',''
1247,52677,259,'26',Decimal('1404068422123284480'),87.195598,-0.985843,0.000239,1.6e-05,0,'GALAXY',''
1250,52930,543,'26',Decimal('1407524191414020096'),65.95246,27.271476,0.559269,9.2e-05,0,'GALAXY',''
1251,52964,193,'26',Decimal('1408553884623857664'),64.815452,28.651905,0.557397,0.000179,0,'GALAXY',''
1251,52964,559,'26',Decimal('1408654489937799168'),65.819145,29.247214,0.059338,2e-05,0,'GALAXY','BROADLINE'
1254,52972,234,'26',Decimal('1411942854472787968'),63.411675,25.482915,0.012713,1.3e-05,0,'GALAXY',''
1256,52902,38,'26',Decimal('1414140777042307072'),69.872709,25.094473,1.3e-05,1.3e-05,0,'GALAXY',''
1256,52902,362,'26',Decimal('1414229837484156928'),68.703903,26.368903,5.6e-05,1.4e-05,0,'GALAXY',''
1256,52902,402,'26',Decimal('1414240832600434688'),68.953446,26.200487,0.558522,0.000175,0,'GALAXY',''
1256,52902,506,'26',Decimal('1414269419902756864'),69.339012,25.533238,0.55647,0.000178,0,'GALAXY',''
1256,52902,585,'26',Decimal('1414291135257405440'),70.061166,25.716347,0.760756,3.1e-05,0,'GALAXY',''
1256,52902,636,'26',Decimal('1414305154030659584'),70.204841,25.687413,0.000179,2e-05,0,'GALAXY',''
1257,52944,209,'26',Decimal('1415313681775880192'),70.646704,25.334588,1.8e-05,1.6e-05,0,'GALAXY',''
