plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
267,51608,384,26,300720855221037056,094954.14,+003658.65,0.006317,5e-06,0,GALAXY,STARBURST
267,51608,508,26,300754940081498112,095320.22,+004151.83,0.012555,7e-06,0,GALAXY,BROADLINE
269,51910,466,26,302995200089810944,100453.27,+001243.07,0.177913,2.8e-05,0,GALAXY,STARFORMING
280,51612,192,26,315304777518966784,112145.17,-000121.05,0.099054,9e-06,0,GALAXY,STARBURST
284,51943,170,26,319802335385643008,115247.51,-004007.66,0.004619,5e-06,0,GALAXY,STARBURST
291,51928,560,26,327790836865591296,124623.00,+002839.90,0.088512,1.5e-05,0,GALAXY,STARFORMING
298,51955,204,26,335574280131602432,133305.34,-010208.95,0.012346,5e-06,0,GALAXY,AGN BROADLINE
328,52282,535,26,369442267410229248,114329.64,-014430.02,0.106046,1.3e-05,0,GALAXY,
330,52370,471,26,371676476514265088,115237.68,-022806.39,0.003533,5e-06,0,GALAXY,STARBURST
336,51999,198,26,378356828062377984,124450.96,-021304.52,0.010874,6e-06,0,GALAXY,STARBURST
345,51690,229,26,388498443254917120,160818.74,-002745.43,0.112833,9e-06,0,GALAXY,
393,51794,456,26,442604037813069824,004402.90,+011312.54,0.119582,3e-05,0,GALAXY,
397,51794,109,26,447012254806730752,011248.61,-001724.67,0.017544,1.1e-05,0,GALAXY,AGN BROADLINE
403,51871,219,26,453797892109395968,015729.43,-005105.85,0.155504,2.8e-05,0,GALAXY,
405,51816,603,26,456155244116600832,021704.78,+011439.11,0.021411,8e-06,0,GALAXY,BROADLINE
411,51817,362,26,462844397998860288,030040.84,+010259.99,0.072075,1.9e-05,0,GALAXY,
412,52258,180,26,463920277525391360,031047.15,-003029.74,0.127465,3e-05,0,GALAXY,
412,52258,492,26,464006039432357888,031034.10,+002938.66,0.047427,1.8e-05,0,GALAXY,STARFORMING
422,51878,80,26,475151782427781120,011216.50,+143442.79,0.094201,1.7e-05,0,GALAXY,
427,51900,71,26,480778808429930496,020528.49,+131504.02,0.025916,1.2e-05,0,GALAXY,AGN BROADLINE
434,51885,639,26,488816238177314816,075510.14,+424014.80,0.072708,7e-06,0,GALAXY,STARFORMING
438,51884,462,26,493271184398379008,080312.61,+473649.74,0.117353,2e-05,0,GALAXY,AGN BROADLINE
440,51885,227,26,495458387920709632,080911.74,+490101.36,0.116703,2.4e-05,0,GALAXY,
444,51883,199,26,499954290933131264,083228.13,+523622.38,0.016941,1.4e-05,0,GALAXY,STARBURST
446,51899,139,26,502189598340835328,084423.57,+532639.88,0.753678,0.294303,0,GALAXY,
446,51899,529,26,502296800724543488,084510.51,+551946.67,0.112892,6e-06,0,GALAXY,AGN
446,51899,597,26,502315492422215680,084805.78,+542616.09,0.046712,1e-05,0,GALAXY,AGN
447,51877,376,26,503380643942524928,084317.21,+524528.54,0.058749,1.1e-05,0,GALAXY,BROADLINE
450,51908,409,26,506767415154075648,090613.77,+561015.21,0.04662,9e-06,0,GALAXY,STARBURST
457,51901,166,26,514581919053146112,025350.37,-075636.52,0.115913,7e-06,0,GALAXY,STARFORMING
460,51924,616,26,518083314217674752,032525.36,-060837.93,0.034414,1.2e-05,0,GALAXY,AGN
462,51909,444,26,520287834779707392,033923.15,-054841.61,0.084796,8e-06,0,GALAXY,AGN
465,51910,482,26,523675979877476352,040852.23,-045504.79,0.184822,2.16119,0,GALAXY,
468,51912,233,26,526985235032729600,085141.01,+002443.58,0.051431,5e-06,0,GALAXY,STARFORMING
468,51912,523,26,527064949625743360,085309.55,+021447.12,0.035238,9e-06,0,GALAXY,
472,51955,247,26,531492683672217600,091138.38,-004253.99,0.070203,7e-06,0,GALAXY,STARFORMING
473,51929,374,26,532653492637034496,091610.58,+022252.03,0.271356,5.6e-05,0,GALAXY,
473,51929,492,26,532685928230053888,092006.44,+015807.65,0.084976,2.3e-05,0,GALAXY,BROADLINE
475,51965,626,26,534974562287249408,093313.95,+015858.64,0.031121,1.1e-05,0,GALAXY,STARFORMING
486,51910,231,26,547250883566528512,093551.59,+612111.53,0.039386,1.4e-05,0,GALAXY,AGN BROADLINE
488,51914,555,26,549591743889172480,102039.81,+642435.90,0.122295,1.8e-05,0,GALAXY,AGN
489,51930,50,26,550578830721443840,103801.63,+641558.95,0.005577,1.2e-05,0,GALAXY,STARFORMING
499,51988,5,26,561825461257136128,143213.33,+631703.83,0.123051,1.9e-05,0,GALAXY,
499,51988,84,26,561847176611784704,142656.14,+630045.98,0.020883,5e-06,0,GALAXY,STARBURST
512,51992,536,26,576608120281786368,112934.19,+032304.88,0.108812,3.6e-05,0,GALAXY,
516,52017,119,26,580997096241391616,120242.24,+015836.48,0.006542,1e-05,0,GALAXY,STARFORMING
519,52283,124,26,584376174814193664,122343.30,+011839.92,0.026255,5e-06,0,GALAXY,STARBURST
519,52283,415,26,584456164285114368,122242.34,+030830.54,0.023084,8e-06,0,GALAXY,AGN
521,52326,300,26,586676353860921344,123805.17,+012839.90,0.006158,1.4e-05,0,GALAXY,AGN
533,51994,537,26,600252293236942848,141451.35,+030751.33,0.025277,7e-06,0,GALAXY,AGN BROADLINE
538,52029,413,26,605847708497897472,145245.47,+025321.34,0.264146,2.9e-05,0,GALAXY,
