#plate,mjd,fiberid,run2d,specobj_id,ra,dec,z,zerr,zwarning,class,subclass
434,51885,639,'26','488816238177314816','07:55:10.14','+42:40:14.80',0.072708,7e-06,0,'GALAXY','STARFORMING'
446,51899,139,'26','502189598340835328','08:44:23.57','+53:26:39.88',0.753678,0.294303,0,'GALAXY',''
468,51912,233,'26','526985235032729600','08:51:41.01','+00:24:43.58',0.051431,5e-06,0,'GALAXY','STARFORMING'
473,51929,374,'26','532653492637034496','09:16:10.58','+02:22:52.03',0.271356,5.6e-05,0,'GALAXY',''
767,52252,313,'26','863651303115483136','09:18:57.56','+51:22:14.63',0.013792,4e-06,0,'GALAXY','STARFORMING'
1019,52707,261,'26','1147363793622296576','12:14:09.47','+54:31:36.69',0.008178,7e-06,0,'GALAXY','STARBURST'
1360,53003,633,'26','1531397921403070464','10:39:25.72','+41:49:27.45',0.12385,1.2e-05,0,'GALAXY','STARBURST'
1809,53792,99,'26','2036780208010323968','14:08:54.47','+08:54:58.43',0.058388,7e-06,0,'GALAXY','STARBURST'
2134,53876,45,'26','2402682835736487936','14:31:09.63','+26:53:09.27',0.052924,6e-06,0,'GALAXY',''
5001,55719,40,'v5_10_0','5630636525186162688','17:23:55.45','+29:19:08.24',0.200945,3.4e-05,0,'GALAXY',''
